"File","Illuminate","DB","Eloquent","Http","Total"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Epp\Repositories\EppRepository.php","16","7","0","0","23"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Pedidos\Services\PedidoImagenesService.php","6","1","0","3","10"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Pedidos\Repositories\PedidoProduccionRepository.php","6","0","0","0","6"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Pedidos\Services\PedidoWebService.php","4","1","0","1","6"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Epp\Services\EppDomainService.php","5","0","0","0","5"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Pedidos\Services\PrendaImagenService.php","3","1","0","1","5"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Pedidos\Services\ProcesoImagenService.php","3","1","0","1","5"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Pedidos\Services\TelaImagenService.php","3","1","0","1","5"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Pedidos\Services\FormDataProcessorService.php","2","0","0","2","4"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Pedidos\Services\ImagenProcessorService.php","3","0","0","1","4"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Pedidos\Services\PedidoProduccionService.php","3","1","0","0","4"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Pedidos\Services\ResolutorImagenesService.php","3","0","0","1","4"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Cotizacion\Services\GeneradorNumeroCotizacionService.php","2","1","0","0","3"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Pedidos\CommandHandlers\CrearPedidoCompletoHandler.php","2","1","0","0","3"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Pedidos\Despacho\Services\DespachoEstadoService.php","2","1","0","0","3"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Pedidos\Listeners\RegistrarAuditoriaPedido.php","2","1","0","0","3"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Pedidos\Repositories\ColoresPorTallaRepository.php","2","1","0","0","3"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Pedidos\Services\CreacionPedidoService.php","2","1","0","0","3"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Pedidos\Services\GuardarPedidoDesdeJSONService.php","2","1","0","0","3"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Pedidos\Services\ImagenService.php","2","0","0","1","3"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Pedidos\Services\ImagenTransformadorService.php","2","0","0","1","3"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Pedidos\Services\PrendaProcesoService.php","2","1","0","0","3"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Pedidos\Services\PrendaTallaService.php","2","1","0","0","3"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Pedidos\Services\PrendaVarianteService.php","2","1","0","0","3"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Shared\CQRS\CommandBus.php","3","0","0","0","3"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Shared\CQRS\QueryBus.php","3","0","0","0","3"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Pedidos\Despacho\Services\DespachoGeneradorService.php","2","0","0","0","2"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Pedidos\Listeners\ActualizarCachePedidos.php","2","0","0","0","2"
